label,in_pkt,in_size,out_pkt,out_size,cumul_1,cumul_2,cumul_3,cumul_4,cumul_5,cumul_6,cumul_7,cumul_8,cumul_9,cumul_10,cumul_11,cumul_12,cumul_13,cumul_14,cumul_15,cumul_16,cumul_17,cumul_18,cumul_19,cumul_20,cumul_21,cumul_22,cumul_23,cumul_24,cumul_25,cumul_26,cumul_27,cumul_28,cumul_29,cumul_30,pkg_count,chunk_count,total_size,chunk_1,chunk_2,chunk_3,chunk_4,chunk_5,chunk_6,chunk_7,chunk_8,chunk_9,chunk_10,chunk_11,chunk_12,chunk_13,chunk_14,chunk_15,chunk_16,chunk_17,chunk_18,chunk_19,chunk_20,chunk_21,chunk_22,chunk_23,chunk_24,chunk_25
Anthony_Bourdain,168,86938,153,109935,-4537.096774193548,-11761.51612903226,-13083.290322580646,-12430.032258064522,-15411.451612903216,-21273.709677419352,-25323.41935483871,-25641.064516129045,-28470.580645161284,-33612.677419354826,-32314.06451612904,-38713.29032258064,-43347.51612903226,-42842.35483870968,-35708.32258064516,-41821.16129032259,-40200.38709677419,-45396.74193548387,-50983.70967741936,-55509.48387096774,-56519.74193548387,-58297.06451612903,-64184.22580645161,-70670.58064516129,-64337.58064516129,-61684.38709677416,-51522.032258064406,-41152.77419354838,-32061.516129032203,-26013.322580645032,123,11,16209,1166,379,176,825,813,862,797,1862,842,876,7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony_Bourdain,80,44877,144,49939,-2257.935483870968,-2715.870967741936,-4058.6129032258063,1686.258064516129,1466.3225806451612,105.6774193548324,-989.3870967741932,-2420.290322580652,-3212.354838709677,-2733.516129032257,-3311.2903225806454,-3313.548387096775,-4918.1612903225805,-5219.483870967727,-6629.096774193567,-5361.967741935484,-6816.0,-7473.419354838714,-8248.0,-9646.0,-9771.0,-9221.580645161292,-10858.45161290325,-9870.451612903224,-12178.387096774197,-12956.12903225805,-14009.064516129032,-14119.096774193567,-4268.8709677419365,-4764.0,61,6,12048,596,1806,3169,793,3255,2429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony_Bourdain,30,6565,30,7274,-433.6774193548387,-185.4193548387097,-626.0322580645161,-246.83870967741936,-694.3870967741935,-325.258064516129,-779.741935483871,-367.6774193548387,-829.0967741935483,-360.0967741935484,-828.4516129032259,-359.51612903225805,-833.8064516129032,-358.93548387096774,-841.1612903225807,-394.0645161290319,-820.9032258064528,-501.9999999999982,-818.5483870967739,-552.387096774193,-732.9354838709692,-579.7741935483882,-630.064516129032,-622.8064516129026,-571.9354838709693,-666.5806451612877,-456.5483870967741,-728.5161290322576,-594.9032258064533,-961.2258064516134,30,7,5965,250,734,1725,811,473,491,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony_Bourdain,33,6899,32,6440,-323.35483870967744,-176.77419354838702,-377.3548387096775,-217.74193548387092,-386.41935483870986,-326.2258064516131,-437.0645161290317,-244.22580645161315,-510.0967741935484,-128.48387096774155,-513.3225806451613,-31.225806451612883,-422.2903225806452,33.90322580645167,-349.2580645161291,112.03225806451616,-263.22580645161304,167.16129032258064,-200.19354838709685,188.29032258064512,-156.2903225806456,245.1935483870982,49.03225806451647,295.1612903225814,252.32258064515904,299.74193548387115,456.0967741935467,286.4516129032256,573.8709677419355,203.48387096774184,33,4,6239,251,256,739,4993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio_Brown,24,4643,24,5801,-443.741935483871,-169.93548387096774,-484.1290322580642,-545.7096774193549,-246.83870967741936,-704.4516129032259,-363.0967741935487,-499.4516129032256,-757.6774193548387,-365.6774193548387,-837.1612903225807,-557.6774193548397,-453.7419354838709,-839.3870967741935,-379.5161290322581,-753.4516129032255,-684.9032258064526,-393.4193548387097,-850.0967741935484,-389.8387096774189,-635.5161290322578,-814.4838709677425,-529.258064516129,-999.8064516129034,-794.1935483870965,-859.774193548387,-1186.032258064516,-928.0967741935484,-1364.6129032258043,-1272.9032258064512,24,5,4163,625,2065,446,304,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio_Brown,186,156022,125,90149,-4889.1612903225805,-9996.774193548392,-14145.483870967742,-11763.548387096784,-17518.22580645161,-21615.967741935485,-20314.70967741937,-24965.16129032258,-30639.451612903227,-35218.6129032258,-34185.25806451614,-39111.80645161289,-37608.3870967742,-44043.25806451613,-44885.645161290326,-49162.58064516129,-42797.19354838709,-42714.96774193552,-46790.74193548386,-52485.22580645161,-55815.12903225809,-50557.87096774192,-37672.83870967742,-26062.83870967732,-13804.87096774186,-267.0645161289917,22527.806451612912,36110.03225806454,50700.35483870968,65844.03225806452,118,12,17253,1172,206,148,761,746,815,845,1771,750,671,300,9007,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio_Brown,51,35362,79,50252,-1262.0,-208.0,-2791.0,-2160.0,-2070.0,-2649.0,-1197.0,-2740.0,-3419.0,-4000.0,-3303.0,-3811.0,-5306.0,-7168.0,-6504.0,-7146.0,-6237.0,-6891.0,-9544.0,-8900.0,-8155.0,-8661.0,-9671.0,-11148.0,-10240.0,-11381.0,-14046.0,-13103.0,-14555.0,-15144.0,36,6,6155,2299,1642,797,488,625,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio_Brown,79,34145,128,92709,-2576.1935483870966,-5064.0,-8808.032258064517,-9390.83870967742,-9093.0,-10599.0,-14429.290322580648,-16091.41935483871,-17575.774193548386,-22064.774193548383,-21598.12903225808,-25189.0,-29336.8064516129,-27979.93548387097,-32924.16129032258,-31572.8064516129,-34572.06451612903,-37662.1935483871,-39003.48387096774,-42563.96774193547,-43112.0,-47199.93548387098,-47652.0,-51699.06451612906,-51727.74193548387,-55186.258064516114,-55939.0,-57368.87096774193,-57787.51612903226,-58414.0,64,4,6484,212,3113,2504,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia_vs_India,47,13112,49,9892,-0.9354838709677402,-384.6451612903227,-576.4516129032259,-337.4516129032256,-149.67741935483872,-335.2903225806462,-612.3870967741935,-525.2258064516126,-175.4193548387097,-167.96774193548345,-582.0645161290331,-630.8064516129034,-673.2903225806451,-141.09677419354833,-177.03225806451616,2165.225806451606,4374.774193548387,4262.774193548387,4640.225806451613,4652.451612903226,4228.612903225806,3999.354838709677,4163.419354838713,4086.548387096775,3604.6129032258063,3594.4193548387098,3863.483870967742,3459.419354838713,3485.870967741936,2960.483870967742,46,5,6961,753,2606,450,1682,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia_vs_India,255,165260,180,123489,-8053.870967741935,-12252.290322580646,-18071.483870967742,-19231.548387096784,-26244.000000000007,-31435.967741935485,-35905.12903225806,-40378.29032258064,-44818.45161290323,-49264.6129032258,-47310.77419354839,-51377.51612903225,-42110.96774193544,-31957.032258064515,-24813.67741935484,-6595.258064516116,10316.419354838725,19379.870967741936,31221.548387096776,45680.32258064522,64579.22580645163,69911.29032258064,65445.16129032258,59191.70967741939,66462.96774193548,60338.8064516129,55369.645161290326,51346.67741935487,46431.29032258064,41454.64516129032,178,13,33012,1161,1048,823,819,825,816,2558,21998,1478,370,365,367,372,0,0,0,0,0,0,0,0,0,0,0,0
